chromosome	position	polarity
chromosome_10	458912	1
chromosome_10	459000	0
chromosome_10	459011	0
chromosome_10	459013	1
chromosome_10	459014	1
chromosome_10	459020	1
chromosome_10	459026	1
chromosome_10	459057	0
chromosome_10	459062	1
chromosome_10	459111	1
chromosome_10	459166	1
chromosome_10	459214	0
chromosome_10	459268	1
chromosome_10	459353	1
chromosome_10	459363	0
chromosome_10	459388	1
chromosome_10	459396	1
chromosome_10	459411	1
chromosome_10	459442	0
chromosome_10	459535	0
chromosome_10	459556	0
chromosome_10	459707	1
chromosome_10	460192	1
chromosome_10	460193	0
chromosome_10	460198	1
chromosome_10	460199	1
chromosome_10	460225	0
chromosome_10	460226	0
chromosome_10	460227	0
chromosome_10	460239	1
chromosome_10	460243	1
chromosome_10	460247	1
chromosome_10	460254	1
chromosome_10	460331	1
chromosome_10	460336	0
chromosome_10	460653	1
chromosome_10	460718	0
chromosome_10	460750	1
chromosome_10	460808	1
chromosome_10	460834	1
chromosome_10	460846	0
chromosome_10	460850	1
chromosome_10	460859	1
chromosome_10	460879	0
chromosome_10	461091	0
chromosome_10	461175	1
chromosome_10	461294	1
chromosome_10	461418	1
chromosome_10	461685	0
chromosome_10	461712	0
chromosome_10	461750	1
chromosome_10	461779	1
chromosome_10	461780	1
chromosome_10	461827	0
chromosome_10	461843	0
chromosome_10	461844	1
chromosome_10	461846	0
chromosome_10	461847	1
chromosome_10	461854	0
chromosome_10	461861	0
chromosome_10	461921	0
chromosome_10	461960	0
chromosome_10	461962	1
chromosome_10	461969	0
chromosome_10	462144	1
chromosome_10	462352	0
chromosome_10	462353	1
chromosome_10	462402	1
chromosome_10	462407	0
chromosome_10	462516	1
chromosome_10	462537	0
chromosome_10	462548	0
chromosome_10	462563	1
chromosome_10	462633	0
chromosome_10	462738	1
chromosome_10	462757	0
chromosome_10	462838	0
chromosome_10	462861	0
chromosome_10	462948	1
chromosome_10	463045	1
chromosome_10	463071	0
chromosome_10	463087	1
chromosome_10	463090	1
chromosome_10	463209	0
chromosome_10	463244	0
chromosome_10	463277	0
chromosome_10	463497	0
chromosome_10	463525	0
chromosome_10	463528	0
chromosome_10	463539	0
chromosome_10	463607	1
chromosome_10	463618	1
chromosome_10	463644	1
chromosome_10	463687	0
chromosome_10	463723	1
chromosome_10	463976	0
chromosome_10	464020	1
